text_combined,true_labels
"Dear student, your course materials are available for download on the university portal.",1
We’ve detected unusual activity on your credit card. Please verify your information immediately.,1
"Hi Sarah, here's your receipt for the tickets you purchased. Hope you enjoy the concert!",0
Welcome to our gym! We’re excited to have you. Here's your membership card to start your fitness journey.,0
This is a confirmation email for your booking at the XYZ hotel. We look forward to your stay.,0
Congratulations! Your annual membership renewal was successful. Your account remains active until next year.,0
You've been pre-approved for a loan! Click here to accept your loan and transfer funds today.,1
Thank you for choosing us for your banking needs. Your new card will be mailed to you soon.,0
Your payment of $100 has been received and processed successfully. Thank you for your prompt payment.,0
Congratulations! You’ve been randomly selected for a chance to win an iPhone 14. Claim now!,1
You are the lucky winner of a trip to Hawaii! Redeem your prize by clicking here now!,1
Thank you for your interest in our property. We will get back to you shortly with available dates for viewing.,0
"Hello John, here are the minutes from last week's team meeting. Let me know if you need any clarification.",0
Your Amazon account has been flagged for suspicious activity. Please verify your details immediately.,1
You are the lucky winner of a $500 gift card. Click here to claim your reward before it expires.,0
Final warning: Your account will be deleted unless you verify your identity. Click here now.,1
Congratulations! You have been selected to receive a brand-new iPhone 14. Click here to claim your prize now!,0
"Hi, we have processed your refund of $30. Please allow 3-5 business days for it to reflect in your account.",0
"Dear user, your application for the study program has been accepted. Please check your email for further details.",0
Your PayPal account is under review. Please click here to update your information now.,1
"Dear customer, thank you for choosing our insurance. Your policy has been successfully renewed.",0
You’ve won a prize in our exclusive online lottery! Click here to claim your winnings now!,1
Your Netflix account will be suspended unless you update your payment information. Click here.,1
Your subscription is about to expire. Click here to update your payment information now.,1
Your subscription to our newsletter has been confirmed. Stay tuned for the latest updates!,0
Urgent! Your bank account has been locked. Click here to verify your details and regain access.,1
You are invited to our annual customer appreciation event next month. Please RSVP by replying to this email. We look forward to seeing you there!,0
We’ve frozen your account due to suspicious transactions. Click here to reactivate your account.,1
We value your feedback! Please take a moment to share your experience with our service. Your input helps us improve.Urgent! We have detected suspicious activity on your account. Click here to verify your identity and avoid account suspension.,0
"Dear customer, thank you for your recent feedback. We’ll strive to improve our services based on your suggestions.",0
Important: We’ve detected fraudulent transactions on your card. Click here to review and secure your account.,1
Thank you for subscribing to our premium newsletter. You’ll receive exclusive updates every week.,1
You have unpaid bills. Avoid penalties by making an immediate payment via this link.,1
This is to confirm your order for the iPhone 14. You will be notified once it ships.,0
Your account has been compromised. Click here to reset your password immediately.,1
You are entitled to a tax refund of $500. Click here to submit your bank details.,1
"Hi Mark, I’m confirming our meeting scheduled for next Tuesday at 10 AM. Let me know if you need to reschedule. Looking forward to it!",0
Your tax return was processed successfully. Expect your refund within 3-5 business days.,0
We need you to update your banking details to ensure you continue to receive payments. Click here to update your information securely,0
Your recent payment could not be processed. Click here to update your payment information and avoid service disruption.,0
Your email storage is almost full! Upgrade now to avoid losing important emails.,1
Hello! Your travel insurance policy has been renewed. Safe travels!,1
The concert you booked has been postponed to next Saturday. Please confirm if you can still attend.,1
Your mobile service will be disconnected unless you pay your overdue bill immediately. Click here to resolve.,1
You’ve earned 50 reward points! Redeem them in your next purchase.,1
We’ve detected an unusual login attempt from an unrecognized device. Click here to secure your account.,1
Your PayPal account has been suspended due to unusual activity. Click here to restore access to your account now,0
Your new account has been successfully created. Welcome to our banking family!,0
Your payment for order #1234 has been successfully processed. Delivery will be made within 5 business days.,0
We’ve noticed suspicious login attempts on your account. Click here to verify your identity.,1
"Your next delivery has been scheduled for Monday, 8 AM. Track your package in the app.",0
Your insurance payment failed. Click here to update your billing details to avoid cancellation.,1
"Dear tenant, your rent payment is due on the 1st of next month. Thank you.",0
Your social media account is at risk. Click here to secure it before it gets hacked.,1
